artist,artist_bandcamp,location_bandcamp,origin
The Vandals,The Vandals,"Los Angeles, California","Huntington Beach, California, U.S."
The Veils,The Veils,UK,"London, England"
The Ventures,The Ventures,"Tacoma, Washington","Tacoma, Washington, U.S."
The Vibrators,The Vibrators,"London, UK","London, England"
The View,The View,"Scotland, UK","Dundee, Scotland"
The Virgins,The Virgins,"New York, New York","New York City, New York, US"
The Von Bondies,The Von Bondies,"Detroit, Michigan","Detroit, Michigan, United States"
The Wake,The Wake,"Glasgow, UK","Glasgow, Glasgow City, United Kingdom"
The Walker Brothers,The Walker Brothers,Rochester,"Los Angeles, California, United States"
The Walkmen,The Walkmen,"New York, New York","New York City, U.S."
The Wallflowers,The Wallflowers,"Los Angeles, California","Los Angeles, California, U.S."
The War On Drugs,The War On Drugs,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
The Warlocks,The Warlocks,"Los Angeles, California","Los Angeles, California, United States"
The Warriors,The Warriors,"Sacramento, California","L.A., California "
The Waterboys,The Waterboys,"Dublin, Ireland","London, England"
The Wedding Present,The Wedding Present,"Brighton, UK","Leeds, West Yorkshire, England"
The Whigs,The Whigs,"Athens, Georgia","Athens, Georgia, United States"
The Wild,The Wild,"Seattle, Washington","Atlanta, GA"
The Wombats,The Wombats,"Liverpool, UK","Liverpool, England"
The Wonder Years,The Wonder Years,"Philadelphia, Pennsylvania","Lansdale, Pennsylvania, U.S."
The Word Alive,The Word Alive,"Phoenix, Arizona","Phoenix, Arizona, U.S."
These Arms Are Snakes,These Arms Are Snakes,"Seattle, Washington","Seattle, Washington, United States"
These New Puritans,These New Puritans,"England, UK","Southend-on-Sea, England"
Third Eye Blind,Third Eye Blind,"San Francisco, California","San Francisco, California, U.S."
This Heat,This Heat,"London, UK","Camberwell, London, England"
This Is Hell,This Is Hell,"New York, New York","Long Island, New York, U.S."
This Providence,This Providence,"Seattle, Washington","Seattle, Washington, United States"
This Time Next Year,This Time Next Year,"Walnut Creek, California","Walnut Creek, California"
This Will Destroy You,This Will Destroy You,"Los Angeles, California","San Marcos, Texas, United States"
Thom Yorke,Thom Yorke,"Oxford, UK","Wellingborough, Northamptonshire, England"
Those Poor Bastards,Those Poor Bastards,Wisconsin,"Madison, Wisconsin, United States"
Thou,Thou,"Baton Rouge, Louisiana","Baton Rouge, LA, United States"
Throwdown,Throwdown,California,"Orange County, California, U.S."
Throwing Muses,Throwing Muses,Rhode Island,"Newport, Rhode Island, United States"
Thursday,Thursday,"New Brunswick, New Jersey","New Brunswick, New Jersey, U.S."
Tilly and the Wall,Tilly and the Wall,"Omaha, Nebraska","Omaha, Nebraska, U.S."
Tim Buckley,Tim Buckley,"Los Angeles, California","Washington, D.C., U.S."
Tim Kasher,Tim Kasher,"Los Angeles, California","Omaha, Nebraska, US"
Tiny Vipers,Tiny Vipers,"Seattle, Washington","Seattle, Washington, United States"
Titus Andronicus,Titus Andronicus,,"Glen Rock, New Jersey, U.S."
To-Mera,To-Mera,UK,"South Oxfordshire, England"
Todd Rundgren,Todd Rundgren,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Tokyo Blade,Tokyo Blade,UK,"Salisbury, Wiltshire, England"
Tom Waits,Tom Waits,"Los Angeles, California","Pomona, California, U.S."
Tombs,Tombs,,"Brooklyn, New York, U.S."
Tommy Bolin,Tommy Bolin,"Miami, Florida","Sioux City, Iowa, U.S."
Torche,Torche,"Miami, Florida","Miami, Florida, U.S."
Tortoise,Tortoise,"Chicago, Illinois","Chicago, Illinois, United States"
Tourniquet,Tourniquet,"Bourbon, Indiana","Los Angeles, California, U.S."
Townes Van Zandt,Townes Van Zandt,"Fort Worth, Texas","Fort Worth, Texas, U.S."
Toxic Holocaust,Toxic Holocaust,"Oregon City, Oregon","Portland, Oregon, U.S."
Toxik,Toxik,"New York, New York","Peekskill, New York, U.S."
Traffic,Traffic,"Moscow, Russia","Birmingham, England"
Transatlantic,Transatlantic,"New York, New York","Millbrook, NY, United States"
Transistor Transistor,Transistor Transistor,New Hampshire,"Derry, NH, United States"
Trap Them,Trap Them,Massachusetts,"Salem, New Hampshire, United States"
Trapeze,Trapeze,"Johannesburg, South Africa","Cannock, England"
Trifonic,Trifonic,"Los Angeles, California","San Francisco, CA, United States"
Tripping Daisy,Tripping Daisy,"Dallas, Texas","Dallas, Texas, United States"
Trophy Scars,Trophy Scars,"Morristown, New Jersey","Morristown, New Jersey, U.S."
Trouble,Trouble,"Calgary, Alberta","Aurora, Illinois, U.S."
True Widow,True Widow,"Dallas, Texas","Dallas, Texas, United States"
Tsunami Bomb,Tsunami Bomb,"Petaluma, California","Petaluma, California"
Turbid North,Turbid North,"Fort Worth, Texas","Fort Worth, Texas"
Tuxedomoon,Tuxedomoon,"Brussel, Belgium","San Francisco, California, United States"
Twin Shadow,Twin Shadow,"Los Angeles, California","Bushwick, Brooklyn, New York, U.S."
Twiztid,Twiztid,"Detroit, Michigan","Livonia, Michigan, U.S.[1]"
Two Door Cinema Club,Two Door Cinema Club,"Bangor, UK","Bangor, County Down, Northern Ireland"
Two Gallants,Two Gallants,"San Francisco, California","San Francisco, California, United States"
Ty Segall,Ty Segall,"Los Angeles, California","Laguna Beach, California, U.S.[1]"
Tygers Of Pan Tang,Tygers Of Pan Tang,"Newcastle Upon Tyne, UK","Whitley Bay, England"
Tyler Joseph,Tyler Joseph,"Indianapolis, Indiana","Columbus, Ohio, U.S."
UNKLE,UNKLE,"London, UK","London, England"
Ugly Casanova,Ugly Casanova,"Issaquah, Washington","Issaquah, Washington"
Unbroken,Unbroken,"San Diego, California","San Diego County, California, U.S."
Underoath,Underoath,"Tampa, Florida","Tampa, Florida, U.S."
Underworld,Underworld,"England, UK","Cardiff, Wales"
Undying,Undying,UK,"Raleigh, NC"
Unearth,Unearth,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Unearthly Trance,Unearthly Trance,"New York, New York","Long Island, New York"
United Nations,United Nations,"Sacramento, California",New York City
Unjust,Unjust,"Manchester, UK","Richmond, California"
Unsane,Unsane,"New York, New York","New York City, U.S."
Until Your Heart Stops,Until Your Heart Stops,Oakland,"Oakland, CA, United States"
Unwound,Unwound,Washington,"Tumwater, Washington, U.S."
Unwritten Law,Unwritten Law,,"Poway, California, United States"
Urge Overkill,Urge Overkill,"Chicago, Illinois","Chicago, Illinois, United States"
Valencia,Valencia,"Macon, Georgia","Philadelphia, Pennsylvania, United States"
Van Dyke Parks,Van Dyke Parks,"Los Angeles, California","Los Angeles, California, U.S."
Vanilla Fudge,Vanilla Fudge,New York,"Long Island, New York, U.S."
Vanilla Ice,Vanilla Ice,Japan,"Dallas, TX, United States"
Vanna,Vanna,"Windsor Locks, Connecticut","Boston, Massachusetts, U.S."
Vaux,Vaux,"Hartsville, South Carolina","Denver, Colorado, United States"
Vektor,Vektor,"Philadelphia, Pennsylvania","Tempe, Arizona, U.S."
Velocity Girl,Velocity Girl,"Washington, D.C.","College Park, Maryland"
Vendetta Red,Vendetta Red,"Maple Valley, Washington","Seattle, Washington, U.S."
Verbal Abuse,Verbal Abuse,"Houston, Texas","Houston, Texas, U.S."
Verse,Verse,Lakeland,"Providence, Rhode Island, U.S."
Vessels,Vessels,"Hershey, Pennsylvania","Leeds, West Yorkshire, England"
Vicious Rumors,Vicious Rumors,"Santa Rosa, California","San Francisco Bay Area, California, U.S."
Videodrone,Videodrone,"Melbourne, Australia","Bakersfield, California, U.S."
Vio-Lence,Vio-Lence,"San Francisco, California","San Francisco Bay Area, California, U.S."
Violent Femmes,Violent Femmes,"Milwaukee, Wisconsin","Milwaukee, Wisconsin, U.S."
Viral Load,Viral Load,"Leeds, UK","Lufkin, Texas"
Virgin Steele,Virgin Steele,"New York, New York","Long Island, New York, U.S."
Visage,Visage,"Los Angeles, California","London, England"
Vivian Girls,Vivian Girls,Saint Louis,"Brooklyn, New York, United States"
Volcano Choir,Volcano Choir,"Eau Claire, Wisconsin","Wisconsin, United States"
Volta Do Mar,Volta Do Mar,"Chicago, Illinois","Chicago, IL, United States"
Voxtrot,Voxtrot,"Austin, Texas","Austin, Texas, U.S."
Warbringer,Warbringer,"Ventura, California","Newbury Park, California, U.S."
Warlord,Warlord,Finland,"San Jose, California, U.S."
Warpaint,Warpaint,"Los Angeles, California","Los Angeles, California, United States"
Warren Zevon,Warren Zevon,"Los Angeles, California","Chicago, Illinois, U.S."
Watchmaker,Watchmaker,"Boston, Massachusetts","Boston, MA"
Wavorly,Wavorly,"Tupelo, Mississippi","Tupelo, Mississippi, U.S."
Waylon Jennings,Waylon Jennings,"Littlefield, Texas","Littlefield, Texas, U.S."
We Are Scientists,We Are Scientists,"New York, New York","Berkeley, California, United States"
We Were Skeletons,We Were Skeletons,"Lancaster, Pennsylvania","Lancaster, PA"
Weatherbox,Weatherbox,"San Diego, California","San Diego, California"
Weaver At The Loom,Weaver At The Loom,"Minneapolis, Minnesota","Minneapolis, Minnesota"
Weedeater,Weedeater,"Wilmington, North Carolina","Wilmington, North Carolina, U.S."
Weekend Nachos,Weekend Nachos,"Chicago, Illinois","DeKalb, Illinois, U.S."
Wehrmacht,Wehrmacht,"Portland, Oregon","Portland, OR, United States"
Wheatus,Wheatus,"New York, New York","Northport, New York, U.S."
While Heaven Wept,While Heaven Wept,"Woodbridge, Virginia","Dale City, VA, United States"
White Lion,White Lion,"New York, New York","New York City, U.S."
White Wizzard,White Wizzard,"Topanga, California","Los Angeles, CA, United States"
White Zombie,White Zombie,"New York, New York","New York City, U.S."
Whitechapel,Whitechapel,"Andújar, Spain","Knoxville, Tennessee, U.S."
Whitney Houston,Whitney Houston,"Limon, Colorado","Newark, United States"
Widespread Panic,Widespread Panic,"Athens, Georgia","Athens, Georgia, U.S."
Wild Beasts,Wild Beasts,"London, UK","Kendal, England"
Will Haven,Will Haven,"Sacramento, California","Sacramento, California, U.S."
Winter,Winter,"Dgo., Mexico","New York, NY, United States"
Winter Solstice,Winter Solstice,"Brisbane, Australia","Lynchburg, VA, United States"
Winterfylleth,Winterfylleth,"Manchester, UK","Manchester, England"
Wipers,Wipers,"Portland, Oregon","Portland, Oregon, U.S."
Wishbone Ash,Wishbone Ash,"London, UK","Torquay, Devon, England"
Witch,Witch,"Brattleboro, Vermont","Brattleboro, VT, United States"
With Passion,With Passion,"Sacramento, California","Sacramento, California, U.S."
Withered,Withered,"Atlanta, Georgia","Atlanta, Georgia, United States[1][2][3]"
Wo Fat,Wo Fat,"Dallas, Texas","Dallas, TX"
Wolf People,Wolf People,"Bedford, UK","Bedford, England"
Wolvhammer,Wolvhammer,"Olympia, Washington","Minneapolis, MN, United States"
Wye Oak,Wye Oak,"Baltimore, Maryland","Baltimore, Maryland"
Xasthur,Xasthur,"Alhambra, California","Alhambra, California, United States"
Xiu Xiu,Xiu Xiu,"Los Angeles, California","San Jose, California, U.S."
YACHT,YACHT,"Los Angeles, California","Portland, Oregon, U.S."
Yakuza,Yakuza,Belfast,"Chicago, Illinois, U.S."
Yawning Man,Yawning Man,"Palm Desert, California","La Quinta, California, U.S."
Yeah Yeah Yeahs,Yeah Yeah Yeahs,"New York, New York","New York City, U.S."
Yeasayer,Yeasayer,"Brooklyn, New York","Brooklyn, New York, U.S."
Yellowcard,Yellowcard,"Jacksonville, Florida","Jacksonville, Florida, U.S."
Yo La Tengo,Yo La Tengo,"New York, New York","Hoboken, New Jersey, U.S."
You Me At Six,You Me At Six,UK,"Weybridge, Surrey, England"
You and I,You and I,"New Brunswick, New Jersey","New Brunswick, New Jersey"
Young Widows,Young Widows,"Louisville, Kentucky","Louisville, Kentucky"
Young and in the Way,Young and in the Way,North Carolina,"Charlotte, North Carolina, United States"
Your Demise,Your Demise,"Hobart, Australia","St Albans, England"
Your Memorial,Your Memorial,,"Hennepin County, Minnesota"
Yume Bitsu,Yume Bitsu,"Portland, Oregon","Portland, Oregon, U.S."
Zakk Wylde,Zakk Wylde,"Los Angeles, California","Jackson, New Jersey, U.S."
Zechs Marquise,Zechs Marquise,"El Paso, Texas","El Paso, TX, United States"
Zelienople,Zelienople,"Chicago, Illinois","Chicago, IL, United States"
Zombi,Zombi,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania, United States"
Zoroaster,Zoroaster,"Los Angeles, California","Atlanta, Georgia, U.S."
Zozobra,Zozobra,"Barcelona, Spain","Santa Fe, New Mexico, U.S."
bygones,bygones,Sacramento,"Sacramento, USA"
earthtone9,earthtone9,UK,"Nottingham, England"
mewithoutYou,mewithoutYou,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
of Montreal,of Montreal,"Athens, Georgia","Athens, Georgia, U.S."
